LeadTime,Adults,Children,PreviousCancellations,PreviousBookingsNotCanceled,DaysInWaitingList,TotalNights,HasBabies,HasMeals,HasParking,CustomerType_Transient,CustomerType_Transient-Party,DistributionChannel_Direct,DistributionChannel_TA/TO,StayType_Weekend,StayType_Mixed,DepositType_Non Refund     ,DepositType_Refundable     ,IsCanceled
0.21033211,0.5,0.0,0.0,0.0,0.0,0.11666667,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.08302583,0.5,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.08118081,0.5,0.0,0.0,0.0,0.0,0.083333336,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.0,0.75,0.33333334,0.0,0.0,0.0,0.016666668,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.003690037,0.25,0.0,0.0,0.0,0.0,0.016666668,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.05719557,0.5,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.4907749,0.25,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.016605167,0.25,0.0,0.0,0.1,0.0,0.016666668,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.52583027,0.5,0.0,0.0,0.0,0.0,0.11666667,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.079335794,0.5,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.0,0.5,0.0,0.0,0.0,0.0,0.033333335,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.4188192,0.5,0.0,0.0,0.0,0.0,0.16666667,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.29335794,0.25,0.0,0.0,0.0,0.0,0.06666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0018450185,0.25,0.0,0.0,0.13333334,0.0,0.033333335,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12177122,0.5,0.0,0.0,0.0,0.0,0.13333334,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.0,0.75,0.0,0.0,0.0,0.0,0.016666668,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.029520296,0.5,0.0,0.0,0.0,0.0,0.06666667,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.27675277,0.5,0.0,0.0,0.0,0.0,0.11666667,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.009225092,0.5,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0018450185,0.5,0.0,0.0,0.0,0.0,0.016666668,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.03874539,0.75,0.0,0.0,0.0,0.0,0.06666667,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.35977858,0.5,0.33333334,0.0,0.0,0.0,0.11666667,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.105166055,0.5,0.0,0.0,0.0,0.0,0.11666667,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
