LeadTime,Adults,Children,PreviousCancellations,PreviousBookingsNotCanceled,DaysInWaitingList,TotalNights,HasBabies,HasMeals,HasParking,CustomerType_Transient,CustomerType_Transient-Party,DistributionChannel_Direct,DistributionChannel_TA/TO,StayType_Weekend,StayType_Mixed,DepositType_Non Refund     ,DepositType_Refundable     ,IsCanceled
0.2103321033210332,0.5,0.0,0.0,0.0,0.0,0.11666666666666667,0,1,0,True,False,False,True,False,True,False,False,0
0.08302583025830258,0.5,0.0,0.0,0.0,0.0,0.1,0,1,0,True,False,False,True,False,True,False,False,0
0.08118081180811808,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0,1,0,True,False,False,True,False,True,False,False,1
0.0,0.75,0.3333333333333333,0.0,0.0,0.0,0.016666666666666666,0,1,1,True,False,False,True,False,False,False,False,0
0.0036900369003690036,0.25,0.0,0.0,0.0,0.0,0.016666666666666666,0,1,0,True,False,True,False,False,False,False,False,0
0.05719557195571955,0.5,0.0,0.0,0.0,0.0,0.1,0,1,0,True,False,False,True,False,True,False,False,0
0.49077490774907745,0.25,0.0,0.0,0.0,0.0,0.1,0,1,0,False,True,False,True,False,True,False,False,0
0.016605166051660517,0.25,0.0,0.0,0.1,0.0,0.016666666666666666,0,1,0,True,False,False,False,False,False,False,False,0
0.525830258302583,0.5,0.0,0.0,0.0,0.0,0.11666666666666667,0,1,0,True,False,False,True,False,True,False,False,1
0.07933579335793357,0.5,0.0,0.0,0.0,0.0,0.1,0,1,0,True,False,False,True,False,True,False,False,0
0.0,0.5,0.0,0.0,0.0,0.0,0.03333333333333333,0,1,1,True,False,True,False,False,True,False,False,0
0.4188191881918819,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0,1,0,True,False,False,True,False,True,False,False,1
0.29335793357933576,0.25,0.0,0.0,0.0,0.0,0.06666666666666667,0,1,0,False,True,False,False,False,True,False,False,0
0.0018450184501845018,0.25,0.0,0.0,0.13333333333333333,0.0,0.03333333333333333,0,1,0,True,False,False,False,False,False,False,False,0
0.12177121771217712,0.5,0.0,0.0,0.0,0.0,0.13333333333333333,0,1,0,True,False,False,True,False,True,False,False,1
0.0,0.75,0.0,0.0,0.0,0.0,0.016666666666666666,0,1,0,False,True,False,True,False,False,False,False,0
0.02952029520295203,0.5,0.0,0.0,0.0,0.0,0.06666666666666667,0,1,0,True,False,False,True,False,False,False,False,0
